UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
209287, 2,"R",22,"Z",0,"R",22,"R",10,"R",0,"R",10,"R",17,"Z",0,"R",17,"R",10,"R",0,"R",10,"R",12,"Z",0,"R",12,"R",8,"R",0,"R",8,"R",51,"R",0,"R",51,"R",28,"R",0,"R",28
209409, 1,"R",44,"R",0,"R",44,"R",22,"R",0,"R",22,"R",18,"R",0,"R",18,"R",10,"R",0,"R",10,"R",20,"R",0,"R",20,"R",11,"R",0,"R",11,"R",82,"R",0,"R",82,"R",43,"R",0,"R",43
209409, 2,"R",44,"Z",0,"R",44,"R",22,"R",0,"R",22,"R",18,"Z",0,"R",18,"R",10,"R",0,"R",10,"R",20,"Z",0,"R",20,"R",11,"R",0,"R",11,"R",82,"R",0,"R",82,"R",43,"R",0,"R",43
209506, 1,"R",122,"R",0,"R",122,"R",41,"R",0,"R",41,"R",67,"R",0,"R",67,"R",39,"R",0,"R",39,"R",153,"R",0,"R",153,"R",78,"R",0,"R",78,"R",342,"R",0,"R",342,"R",158,"R",0,"R",158
209506, 2,"R",122,"Z",0,"R",122,"R",41,"R",0,"R",41,"R",67,"Z",0,"R",67,"R",39,"R",0,"R",39,"R",153,"Z",0,"R",153,"R",78,"R",0,"R",78,"R",342,"R",0,"R",342,"R",158,"R",0,"R",158
209542, 1,"R",1032,"R",0,"R",1032,"R",577,"R",0,"R",577,"R",636,"R",0,"R",636,"R",424,"R",0,"R",424,"R",1885,"R",0,"R",1885,"R",1383,"R",0,"R",1383,"R",3553,"R",0,"R",3553,"R",2384,"R",0,"R",2384
209542, 2,"R",1032,"Z",0,"R",1032,"R",577,"R",0,"R",577,"R",636,"Z",0,"R",636,"R",424,"R",0,"R",424,"R",1885,"Z",0,"R",1885,"R",1383,"R",0,"R",1383,"R",3553,"R",0,"R",3553,"R",2384,"R",0,"R",2384
209551, 1,"R",956,"R",0,"R",956,"R",640,"R",0,"R",640,"R",559,"R",0,"R",559,"R",401,"R",0,"R",401,"R",2398,"R",1,"R",2397,"R",1869,"R",0,"R",1869,"R",3913,"R",1,"R",3912,"R",2910,"R",0,"R",2910
209551, 2,"R",956,"R",0,"R",956,"R",640,"R",0,"R",640,"R",559,"R",0,"R",559,"R",401,"R",0,"R",401,"R",2398,"R",1,"R",2397,"R",1869,"R",0,"R",1869,"R",3913,"R",1,"R",3912,"R",2910,"R",0,"R",2910
209603, 1,"R",22,"R",0,"R",22,"R",10,"R",0,"R",10,"R",13,"R",0,"R",13,"R",3,"R",0,"R",3,"R",25,"R",0,"R",25,"R",13,"R",0,"R",13,"R",60,"R",0,"R",60,"R",26,"R",0,"R",26
